code,name,weight,internal_code
X3U,Tadjikistan,7,1
X3V,Tahiti,4,1
X3W,Taipei chinois (RPC),2,1
X3X,Tanzanie,4,1
X3Y,Tchad,4,1
X3Z,Thaïlande,5,1
X40,Timor Oriental,4,1
X41,Togo,28,1
X42,Tonga,0,1
X43,Trinité-et-Tobago,8,1
TUN,Tunisie,147,0
X44,Turkménistan,1,1
X45,Turks-et-Caïcos,1,1
TUR,Turquie,199,0
X46,Tuvalu,0,1
UKR,Ukraine,59,0
URU,Uruguay,154,0
X47,Vanuatu,1,1
VEN,Venezuela,40,0
X48,Vietnam,1,1
X49,Yémen,0,1
X4A,Zambie,10,1
X4B,Zanzibar,0,1
X4C,Zimbabwe,16,1
SCO,Écosse,479,0
EGY,Égypte,116,0
ECU,Équateur,125,0
X4D,Érythrée,1,1
USA,États-Unis,181,0
X4E,Éthiopie,2,1
X4F,Île Maurice,3,1
X4G,Îles Vierges,2,1
X4H,Îles Vierges US,0,1
X4I,Îles Wallis-et-Futuna,0,1
